RSI_Crossed_40,rsi9m,EMA20,EMA5,result
42.11209995216125,38.66342784957609,2576.8840887864117,2575.249572247765,0
43.419700023553524,41.58292176648902,2556.874806743272,2555.6878304098036,1
46.19930108587687,50.56678031337637,2324.030871876382,2322.460393354096,0
40.454073492382264,37.459971552331005,2482.7746584951897,2481.777370614253,1
41.46719193318701,32.70959712392004,2533.2757449699334,2532.7689947413246,1
43.818202610475105,43.63787704254465,2330.659934463158,2328.6869979508992,0
46.58332662709201,48.813850895436865,2432.79366508978,2432.091776804225,1
40.55577734635389,35.947311615208314,2464.161275624227,2463.4449229683437,0
44.006957242146036,42.772589011500834,2507.296411021666,2506.360876138421,1
42.81585171233844,40.385157501236606,2520.0713398046096,2519.4243423916096,0
42.74091785402029,42.24723561943141,2536.152751648562,2533.992192712769,1
42.83600239747856,39.65603896400754,2435.343881655024,2433.6355908609803,0
42.63683626224727,41.856030229107574,2327.9742058500465,2326.6505534762355,0
45.212063962875426,46.43145135478972,2246.1466252254318,2245.0130602725367,0
46.663709247585196,46.9750831757782,2282.8504458013995,2282.434200413082,0
40.50348747835462,40.71864942087399,2736.8259664125962,2734.765894948257,0
45.48730350875616,43.514772960816124,2520.3558686877504,2519.902055938349,0
55.208163696340605,56.86442037374298,2406.7448181998434,2406.443093364658,1
44.00368231182033,44.5315149786014,2547.911098807599,2547.2240384663924,1
46.739383347464525,49.975512727738646,2497.0735588173625,2495.6496524682334,0
40.57048426894807,40.772426081192,2494.1808463260945,2492.3423422786227,0
42.27292331180962,40.275841464292974,2433.911824468132,2431.9462506483596,0
53.11873084462844,60.41024340964963,2466.7153608089056,2466.05350544903,1
41.36118509924293,46.810767243594384,2514.7163353888504,2512.2783723814355,0
42.51370717443244,37.26710468026143,2552.623104098703,2551.542110367198,0
48.834855157149846,49.61913441352422,2325.1288365827195,2324.2147362885653,0
42.400013813505566,40.648593189266975,2325.6798568794975,2324.600246383287,0
43.64859861009174,45.39297344304568,2815.0813660976314,2812.023547843724,0
41.060540041866155,38.36438569192089,2364.7634463990407,2363.7095849223115,0
42.8771363074879,41.02267524084431,2436.73371513369,2434.892641241731,1
41.39409097642363,41.41481623643693,2343.447395294837,2341.9724195572453,0
42.55898321347668,42.89752507461124,2817.9473862704476,2812.9648369861216,0
47.022919457907555,53.44301885110012,2476.653939122152,2476.0220938977395,0
40.81857836070309,42.58002519446858,2477.5212822639446,2475.968311139581,0
45.29480092059783,50.13608689812552,2324.048632780776,2322.4482795536874,1
45.79330794587074,45.214662135976205,2561.497396749738,2561.017771369396,1
42.74505180908421,43.92294809890766,2359.8112371157413,2359.025425991508,0
42.28298355407402,41.982900161333276,2399.505496290727,2398.3411692755253,0
40.356652386587726,44.23911229737403,2413.959870730133,2412.747347962473,1
43.18454963334666,46.83191049708839,2429.2170270964107,2427.8713504515895,0
41.29049074373398,38.41032123346356,2516.622566252777,2514.567817315994,0
42.4535873525528,42.82562562621843,2516.8897476779653,2515.3701365960233,0
41.89635277028431,35.48663559579607,2430.142764808375,2428.029958982948,0
41.10880242223929,40.93754263727418,2331.871117230342,2329.5230418905717,0
41.589207613355576,42.02266031872535,2331.787868995957,2330.646418493884,1
42.58844387726019,43.37335749431838,2430.317372926103,2429.630410958795,1
41.566204686419375,45.407998967046396,2308.9078654363193,2307.268916804924,0
42.5155155683833,40.53538621857755,2422.306667818298,2421.425444377852,1
44.67899831440793,50.578973431227546,2739.293839698673,2737.1397547700317,0
47.04393076348821,48.627621085165785,2415.042033696412,2414.0393561008477,1
41.445822053002445,42.0543204782398,2511.00302145149,2509.106740808515,0
40.261725541595546,38.64344970496617,2424.4137066190406,2423.8186985379307,0
41.69643820090136,39.716482877155876,2732.7779570487864,2731.8333622346854,0
43.264759549340496,47.936098835340154,2215.2072518245855,2213.983509459548,0
42.61938970424842,39.75922992564591,2435.943766672056,2434.7549953271277,0
45.031102046651185,48.85874050591687,2519.9006420400224,2518.837648731223,0
41.82846717857111,44.70464964861897,2767.0592884251637,2765.544041098309,1
42.77585697674647,41.40021947625165,2497.8726134722597,2496.090703900506,0
41.08482433426382,44.21675431837623,2481.9540696921954,2479.920807447872,0
51.79804982379056,59.822197534969206,2409.04386951966,2407.8976825413524,0
45.96688695163038,51.02838837498847,2342.136823711393,2341.037740633798,1
49.57969823020632,56.91261733393159,2569.2408389953157,2568.586697689828,1
41.23464080957389,40.33857213798228,2537.500265978628,2536.7886475297328,1
43.13765746928877,47.46508417790026,2335.6988100210606,2334.3000119950625,1
47.56231523195254,56.999955409530266,2520.0529252700094,2519.553090666597,0
41.227806935709054,43.9514647661303,2477.523647704714,2474.3812288528657,0
42.37406361758749,46.14474094999625,2256.3573483076884,2255.0352916987467,1
45.10759181937399,45.78223364628516,2357.4660219953653,2356.1397498745246,1
42.79766569582522,44.800847664406795,2315.1487954645813,2313.2257478249685,0
40.036853222947855,41.10657684991543,2520.51509706483,2519.1437217018156,0
45.47505262255302,44.947465554128264,2489.0045107574556,2487.58710569739,0
42.67408911504411,40.96922341261958,2453.015104310421,2451.3536927978857,0
40.546081181756236,36.37424778632499,2358.1062289516008,2354.547229221433,1
43.14299943983866,44.97948900210522,2394.187476400691,2393.2322103751208,0
42.08191017163201,40.69041253208028,2755.526790399766,2754.3131536855362,0
43.44922177983909,43.50477830730168,2358.5324029996177,2357.3342790199827,0
41.76244775025467,43.601601251149184,2252.335944190187,2250.7382417377526,0
41.850682760417136,43.24803818122807,2244.4300106285214,2242.879525246861,0
41.8176175213162,40.504592520426606,2491.3341226414937,2489.7870072526116,1
46.348449437603705,40.37042272834265,2566.6365183472444,2564.192593863943,0
40.10034786457613,35.86359307998072,2572.2267318071,2571.605409244187,0
44.214273445821654,40.051446173984665,2442.074091711579,2439.8475172641597,0
